2014-07-01 01:34:56,027 - ubuntuone.credentials - INFO - Starting Ubuntu One login manager for bus u'com.ubuntuone.Credentials'.
2014-07-01 08:30:51,323 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:30:51,327 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 08:35:51,466 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:35:51,466 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 08:42:39,517 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:42:39,517 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 08:47:40,489 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:47:40,489 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 08:52:40,603 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:52:40,604 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 08:57:40,981 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 08:57:40,982 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 09:03:13,069 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 09:03:13,070 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 09:08:13,497 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 09:08:13,497 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 09:32:19,563 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 09:32:19,564 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 09:37:20,459 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 09:37:20,460 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 16:12:56,623 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 16:12:56,625 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 16:17:57,480 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 16:17:57,480 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 16:24:51,469 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 16:24:51,470 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2014-07-01 16:29:52,575 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2014-07-01 16:29:52,575 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
